date,premise_code,item_code,price,premise,address,premise_type,state,district,item,unit,item_group,item_category
5/26/2024,351,120,4.1,TESCO KOTA BHARU,"LOT 1828,SEKSYEN 17,KOTA BHARU",Hypermarket,Kelantan,Kota Bharu,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR
5/27/2024,351,119,4.3,TESCO KOTA BHARU,"LOT 1828,SEKSYEN 17,KOTA BHARU",Hypermarket,Kelantan,Kota Bharu,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR
5/27/2024,351,120,4.1,TESCO KOTA BHARU,"LOT 1828,SEKSYEN 17,KOTA BHARU",Hypermarket,Kelantan,Kota Bharu,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR
5/28/2024,351,119,4.3,TESCO KOTA BHARU,"LOT 1828,SEKSYEN 17,KOTA BHARU",Hypermarket,Kelantan,Kota Bharu,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR
5/28/2024,351,120,4.1,TESCO KOTA BHARU,"LOT 1828,SEKSYEN 17,KOTA BHARU",Hypermarket,Kelantan,Kota Bharu,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR
5/29/2024,351,119,4.3,TESCO KOTA BHARU,"LOT 1828,SEKSYEN 17,KOTA BHARU",Hypermarket,Kelantan,Kota Bharu,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR
5/29/2024,351,120,4.1,TESCO KOTA BHARU,"LOT 1828,SEKSYEN 17,KOTA BHARU",Hypermarket,Kelantan,Kota Bharu,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR
5/29/2024,382,119,4.3,PASARAYA PKT PASIR TUMBOH,"G6582,LOT 11,KEDAI PASIR TUMBOH,",Pasar Raya / Supermarket,Kelantan,Kota Bharu,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR
5/30/2024,351,119,4.3,TESCO KOTA BHARU,"LOT 1828,SEKSYEN 17,KOTA BHARU",Hypermarket,Kelantan,Kota Bharu,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR
5/30/2024,351,120,4.1,TESCO KOTA BHARU,"LOT 1828,SEKSYEN 17,KOTA BHARU",Hypermarket,Kelantan,Kota Bharu,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR
5/30/2024,382,119,4.3,PASARAYA PKT PASIR TUMBOH,"G6582,LOT 11,KEDAI PASIR TUMBOH,",Pasar Raya / Supermarket,Kelantan,Kota Bharu,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR
5/31/2024,351,119,4.3,TESCO KOTA BHARU,"LOT 1828,SEKSYEN 17,KOTA BHARU",Hypermarket,Kelantan,Kota Bharu,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR
5/31/2024,351,120,4.1,TESCO KOTA BHARU,"LOT 1828,SEKSYEN 17,KOTA BHARU",Hypermarket,Kelantan,Kota Bharu,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR
6/1/2024,351,120,4.1,TESCO KOTA BHARU,"LOT 1828,SEKSYEN 17,KOTA BHARU",Hypermarket,Kelantan,Kota Bharu,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR
6/2/2024,351,120,4.1,TESCO KOTA BHARU,"LOT 1828,SEKSYEN 17,KOTA BHARU",Hypermarket,Kelantan,Kota Bharu,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR
6/6/2024,382,119,4.3,PASARAYA PKT PASIR TUMBOH,"G6582,LOT 11,KEDAI PASIR TUMBOH,",Pasar Raya / Supermarket,Kelantan,Kota Bharu,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR
6/6/2024,20857,118,4.5,PANTAI TIMUR JELAWAT,"JELAWAT BACHOK,BACHOK,",Pasar Raya / Supermarket,Kelantan,Bachok,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR
6/7/2024,351,119,4.3,TESCO KOTA BHARU,"LOT 1828,SEKSYEN 17,KOTA BHARU",Hypermarket,Kelantan,Kota Bharu,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR
6/7/2024,351,120,4.1,TESCO KOTA BHARU,"LOT 1828,SEKSYEN 17,KOTA BHARU",Hypermarket,Kelantan,Kota Bharu,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR
6/7/2024,20857,118,4.5,PANTAI TIMUR JELAWAT,"JELAWAT BACHOK,BACHOK,",Pasar Raya / Supermarket,Kelantan,Bachok,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR
6/8/2024,351,119,4.3,TESCO KOTA BHARU,"LOT 1828,SEKSYEN 17,KOTA BHARU",Hypermarket,Kelantan,Kota Bharu,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR
6/8/2024,351,120,4.1,TESCO KOTA BHARU,"LOT 1828,SEKSYEN 17,KOTA BHARU",Hypermarket,Kelantan,Kota Bharu,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR
6/8/2024,15192,119,4.3,PASARAYA PKT SDN BHD,"PT 5462-PT 5468,BANDAR BARU KUALA KRAI- GUA MUSANG,",Pasar Raya / Supermarket,Kelantan,Kuala Krai,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR
6/8/2024,20857,118,4.5,PANTAI TIMUR JELAWAT,"JELAWAT BACHOK,BACHOK,",Pasar Raya / Supermarket,Kelantan,Bachok,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR
